,@GlasgowWarriors
German Araoz,@Germanaraoz
Adam Ashe,@adamashe93
John Barclay,@johnbarc86
Nick Campbell,@Nick_C_89
Michael Cusack,@bigq1
Chris Cusiter,@chriscusiter
Alex Dunbar,@alexdunbar13ï¾ 
James Eddie,@james_eddie
Chris Fusaro,@chrisfusaro21
Finlay Gillies,@finlay_g
Stuart Hogg,@StuartWHOGG_15
Pete Horne,@Petehorne72
George Hunter,@georgehunter31
Ruaridh Jackson,@ruaridh_jackson
Ed Kalman,@therealedkalman
Alastair Kellock,@AlastairKellock
Sean Kennedy,@seanskennedy
Rory Lamont,@Rorylamont
Moray Low,@moray_low
Pat McArthur,@patmacarthur
Nikola Matawalu,@NikolaLeka
Murray McConnell,@mmcconnell92
Byron McGuigan,@ByronMacG
Graeme Morrison,@gmorri
Taylor Paris,@TayParis3
Tom Ryder,@ryder_tom
Tommy Seymour,@tommy_seymour14
Josh Strauss,@JoshStrauss1
Fraser Thomson,@Eff_Tee15
DTH van der Merwe,@DTHVDM
Duncan Weir,@duncan_weir
Ryan Wilson,@ryanwilson89
Angus MacDonald,@Gus_Macca
